3.238571429,3.757142857,4.265714286,3.408571429,3.582857143,2.617142857,3.648571429,3.652857143,4.184285714,4.22,3.902857143,3.04,3.197142857,2.285714286,2.285714286,3.571428571,3.571428571,3.285714286,1.142857143,2.928571429,2.642857143,2.714285714,1.928571429,2.642857143,3.5,3.928571429,4.285714286,1.714285714,4.071428571,2.071428571,0.214285714,0.928571429,2.928571429,1.785714286,1.428571429,-0.285714286,3.785714286,3.785714286,3.5,2.071428571,3.214285714,3,-0.071428571,0.142857143,3.714285714,0.785714286,3.214285714,3,2.071428571,3.071428571,3.142857143,3.5,1.785714286,3.214285714,1.5,1.142857143,-0.785714286,0.071428571,1.785714286,1.857142857,3.571428571,3.642857143,4.571428571,2.214285714,3.285714286,2.785714286,1.214285714,1,1.285714286,1.357142857,2.5,4,3.357142857,3.142857143,3.428571429,3.214285714,1.785714286,4.428571429,4.071428571,4.142857143,3.857142857,2.428571429,2.5,2.571428571,1.5,-0.285714286,-0.357142857,-0.071428571,1.357142857,-0.785714286,-1.714285714,-0.357142857,0.428571429,-0.071428571,1.357142857,2.928571429,2.071428571,1.071428571,2.857142857,2.214285714,2.357142857,2.714285714,2.785714286,3.571428571,2.785714286,0.357142857,2.571428571,1.928571429,2.642857143,2.857142857,2.285714286,2.642857143,3.928571429,3.785714286,3.5,3.785714286,3.571428571,2.714285714,3.714285714,2.714285714,3.785714286,4.071428571,3.642857143,3.857142857,4,3.857142857,2.071428571,3.357142857,3.5,2.714285714,2.714285714,2.357142857,2.357142857,0,-0.571428571,2.642857143,3,0.571428571,2,1.214285714,1.142857143,1,2.357142857,-1.214285714,2.642857143,3,2.642857143,3.642857143,3.357142857,1.571428571,2.357142857,2.214285714,2.5,1.071428571,0.428571429,1.5,-0.142857143,-1,1.785714286,-1.5,2.5,1.857142857,1.928571429,3.071428571,4.714285714,3.5,1.714285714,3.785714286,2.571428571,-0.428571429,1.857142857,2.714285714,4.857142857,3.5,2.642857143,3,3.357142857,3.285714286,2.571428571,1.5,1.714285714,0,1.857142857,1.642857143,3.571428571,2.214285714,1.357142857,0.571428571,1.214285714,3,2.571428571,3.357142857,1.142857143,1.785714286,2.785714286,2.071428571,3.071428571,2.642857143,3.357142857,2.142857143,3,2.785714286,2.714285714,3.357142857,1,3.857142857,2.071428571,4.071428571,4.071428571,3.571428571,3.857142857,3.785714286,2.428571429,1.714285714,3.285714286,2.571428571,-0.642857143,4,2.357142857,3.285714286,3.142857143,2.714285714,3.5,3,4.142857143,1.071428571,3,2.071428571,1.714285714,2.928571429,2.642857143,3.071428571,4.428571429,1.928571429,1.714285714,-0.428571429,2.214285714,3.357142857,3.357142857,3.928571429,3.142857143,3.642857143,3.785714286,3.285714286,1.928571429,4.071428571,4.571428571,4.214285714,1.857142857,4.714285714,3.642857143,2.071428571,4.285714286,2.5,1.285714286,1,1.214285714,3,3.357142857,3.214285714,3.214285714,2.071428571,2.428571429,1.857142857,0.928571429,3.214285714,3.857142857,3.714285714,2.357142857,3.142857143,3.214285714,4.428571429,0.214285714,2,2.428571429,2.714285714,1.928571429,3.285714286,-0.214285714,-2.571428571,-4.428571429,-1.928571429,1.714285714,0.071428571,1.071428571,1.5,1.714285714,1.857142857,3,3.142857143,1.071428571,0.642857143,-0.142857143,1.642857143,2.285714286,2.214285714,-0.142857143,0.285714286,4.142857143,3.071428571
2.28,5.58,3.86,-5.2,-0.66,1.46,5.26,5,5,5,3.8,5,5,2,5,5,7,5,6,3,3,3,-4,4,5,-3,4,4,2,2,2,4,4,2,4,4,4,3,4,4,4,4,3,4,5,4,5,5,5,5,5,5,5,3,3,4,4,4,4,5,4,4,5,3,4,3,3,3,3,3,2,3,3,3,4,3,3,3,3,4,5,5,5,6,6,5,2,2,2,2,2,2,3,6,7,4,4,4,4,4,4,4,3,3,3,4,4,3,5,3,3,5,3,2,7,6,4,4,4,3,3,3,3,-1,6,5,4,4,4,4,5,-4,-4,-4,-2,-6,-1,-4,-4,-4,5,-9,6,6,6,5,2,3,3,3,-1,-2,-3,-2,-3,6,6,6,6,5,5,4,4,4,4,7,6,5,-4,-3,4,4,4,4,3,4,4,4,3,3,3,3,4,8,4,5,4,3,3,3,6,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,6,3,3,3,2,3,3,3,-2,6,5,5,5,5,5,3,3,4,4,4,4,4,4,4,7,-7,8,-4,-3,-9,-10,3,3,3,3,-5,-1,-1,6,3,3,5,6,6,5,4,4,4,-2,-5,3,3,3,-4,-3,-3,-6,-3,6,2,5,3,5,4,4,5,6,5,5,4,5,2,2,2,2,2,2,2,2,2,6,6,6,2,-4,-4,5,4,3,3,3,3
2.62,4.4,0.76,5.2,4.28,3.56,3.86,4.52,4,4,3.4,3.6,3.84,4,4,-1,-2,-3,-1,-2,-1,-3,-3,4,4,5,6,-5,7,3,3,6,3,3,5,5,3,3,3,3,3,3,-20,-20,3,-6,8,8,5,6,2,5,4,4,-4,-4,-5,-1,-1,6,6,5,5,5,-5,3,3,3,3,5,5,5,6,7,-3,-3,-3,6,4,4,5,5,4,3,4,3,3,3,3,3,3,-6,-2,-2,-1,-1,-1,-1,7,5,-1,-1,5,-1,-1,-3,-2,4,4,4,4,4,4,4,4,4,4,5,4,3,5,5,4,4,4,4,4,4,5,-21,-20,4,-3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,8,2,2,2,2,3,-20,-20,-20,-20,-20,-20,-20,3,3,4,4,5,4,3,-1,2,-3,-3,4,4,3,4,4,4,4,-3,3,3,4,5,5,4,4,4,4,4,3,3,4,5,5,7,-18,6,6,-1,-2,-3,-3,-3,-5,6,5,5,5,5,6,6,6,5,6,4,3,3,3,2,2,2,-3,7,7,7,-4,6,3,3,3,4,4,4,7,-3,-3,4,4,3,3,3,2,2,2,2,2,3,5,6,3,3,2,2,2,2,2,3,3,3,3,3,4,7,2,2,4,3,3,2,2,3,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,-1,-1,3,-2,6,6,6,6,3,3,-4,6,4,3
1.38,3.8,4.1,4.74,4.64,-5.82,4,3.48,3.44,4.76,4,5,4,4,5,5,3,4,4,3,3,3,3,4,4,5,5,5,4,4,4,4,5,2,2,2,6,6,3,3,3,3,3,-12,4,-2,6,6,2,-7,5,6,6,6,6,4,4,4,4,6,4,5,5,-3,-3,-4,-5,-3,-3,4,4,7,7,6,6,6,5,3,3,3,3,-20,-14,7,3,-8,4,4,5,5,5,-2,5,4,4,4,3,3,3,3,3,4,5,3,4,6,4,3,3,3,3,3,4,4,4,4,4,5,7,4,4,4,4,4,4,4,6,-4,-1,4,3,3,3,3,-17,4,-1,-1,-1,-1,-1,-4,-2,-4,-5,-4,3,3,3,4,4,4,4,4,4,4,-4,3,3,3,2,4,4,5,5,4,5,5,6,6,5,5,5,3,6,4,4,4,3,3,4,4,4,2,3,3,3,3,7,3,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,3,3,6,6,5,7,6,3,3,3,3,6,5,5,5,5,6,5,5,4,4,3,5,5,5,-18,2,2,3,3,5,6,4,4,-7,-4,-3,6,6,4,4,4,4,5,6,-1,-5,-5,-4,-2,5,5,5,-20,-20,-20,3,2,2,2,-3,-2,6,5,4,4,4,8,-1,-1,3,-20,-20,-9,5,5,5,7,8,3,3
2.06,1.64,1.68,2.38,3.5,4.06,2.56,3.94,3.44,3.32,3.44,3.96,4.92,5,-7,7,4,6,4,4,3,3,3,3,3,5,5,5,4,4,4,-14,5,8,-20,-20,6,6,5,-20,6,6,6,2,3,3,3,5,3,3,4,4,7,4,3,3,3,4,4,4,4,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,2,2,3,3,7,3,4,4,4,5,4,4,4,4,4,4,2,2,2,2,4,4,5,4,-20,5,4,5,5,4,5,5,4,4,3,4,4,2,3,2,3,3,4,3,4,4,4,4,4,4,4,5,3,3,-1,-10,-3,-2,6,-5,-5,3,-16,2,2,3,4,4,4,4,3,3,4,4,4,3,3,3,3,-18,6,-17,7,4,4,4,7,4,4,4,4,4,4,4,6,5,-4,-4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,7,-1,5,5,5,3,4,4,4,3,3,5,3,5,5,6,4,4,4,4,8,6,3,2,2,2,2,2,2,2,2,5,-10,5,2,2,2,2,2,2,-3,2,2,2,4,3,3,3,5,4,2,2,4,7,6,6,6,5,3,4,2,2,2,2,3,2,2,2,2,2,2,2,4,2,5,4,7,6,2,2,2,4,3,6,6,6,6,7,-20,-20,-20,6,-20,-20,-3,4,5,5,4,6,6,4,3,-2,-2,-2,-2,5,6
2,4.18,5.32,2.6,3.4,3.38,3.4,4.2,5.7,4,-2,-2,3,-3,-2,5,4,4,-21,5,3,2,-4,-4,5,5,4,5,5,4,5,5,-2,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,2,2,2,2,2,3,3,3,3,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,2,-3,-3,5,3,3,2,2,2,2,-4,-3,4,5,2,2,2,2,2,3,4,4,4,-1,5,-2,5,4,5,5,5,4,4,5,4,4,3,3,8,7,2,2,5,6,6,3,3,6,5,5,5,5,5,4,4,4,3,3,3,3,5,2,2,2,6,5,5,4,4,5,4,4,4,-1,-2,7,4,4,3,3,-3,4,4,-4,3,3,3,3,3,8,7,7,2,2,2,2,2,3,3,3,3,3,4,-4,-5,-5,-5,5,6,6,-5,-5,2,2,2,2,2,2,2,5,4,5,5,5,5,5,3,3,3,4,3,3,3,3,3,4,4,3,4,8,2,2,4,3,3,-4,-11,6,-7,-8,5,-5,-3,5,-2,6,5,4,4,3,3,4,4,5,5,6,6,6,4,2,9,6,3,3,3,3,3,3,3,3,7,5,-2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,-21,-21,6,5,5,5,4,4,5,5,3,-3,-3,9,9,3,4,4,4,4
7,6,4,4,4,-1,-1,5,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,2,2,4,3,3,4,4,-20,4,8,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,-20,4,3,3,3,3,6,6,6,-7,-6,-17,-20,-5,4,-6,-12,4,-2,-2,8,9,9,4,4,4,4,4,4,-3,-4,-3,-1,-2,-2,-4,-3,-3,-4,-3,3,-3,-17,-4,-2,5,4,5,3,3,3,3,3,3,3,3,3,-6,5,4,4,6,5,6,9,9,4,5,5,4,4,5,5,4,-6,6,-5,-4,5,-1,-2,3,3,3,3,3,3,5,-3,-3,5,7,-3,-3,-5,-3,-4,5,5,3,3,-6,-6,-1,-1,-1,-1,6,5,-2,5,-3,2,3,4,3,-3,6,6,-4,-4,-6,2,-5,-5,-3,-3,-2,3,3,-1,-2,-3,-1,-1,-1,-3,-4,5,6,-12,4,-14,5,3,3,3,2,2,4,3,5,4,7,-2,-3,-3,-3,6,-17,5,5,5,5,2,-5,8,6,4,3,3,3,3,3,3,4,3,3,3,3,6,3,3,5,4,4,4,4,4,5,9,3,5,5,3,5,5,3,5,5,5,5,4,3,3,3,3,4,4,3,4,4,4,-3,5,3,3,3,2,2,2,2,4,4,2,4,6,2,4,4,5,5,3,3,3,4,4,4,4,4,3,5,7
3,3,7,3,3,3,3,-9,-5,6,5,2,3,3,3,6,3,3,-2,-2,-2,4,5,-2,-2,5,4,5,5,5,4,4,3,2,5,5,5,5,4,4,4,5,3,3,5,5,6,-13,-11,5,5,5,-18,3,-18,-18,-18,6,6,6,3,3,3,-14,7,-4,-4,-1,5,3,2,4,4,5,4,4,3,4,4,3,4,4,3,3,3,3,3,6,3,3,3,3,3,3,3,4,2,2,3,3,2,3,5,5,4,8,4,-2,3,3,-7,-6,5,3,3,5,8,-6,3,-3,-6,-3,-3,5,5,5,-15,7,7,7,7,-3,-3,-3,6,5,5,3,3,2,2,2,2,2,3,6,6,2,4,4,4,4,4,4,4,8,-1,-1,-1,-5,-5,-5,-4,4,4,3,2,2,2,-20,7,5,5,2,2,2,2,2,3,3,-2,-4,-4,-4,4,4,4,-2,6,5,3,4,3,3,3,5,5,8,4,5,5,5,5,5,4,2,2,2,5,4,4,7,7,5,5,6,6,6,7,3,7,7,4,4,4,4,4,5,4,4,4,5,5,5,4,5,6,4,5,5,4,3,3,3,3,4,4,4,-6,8,4,4,6,-4,-3,-8,-6,4,4,9,5,5,4,3,6,5,5,5,6,6,9,6,2,2,2,2,2,2,2,2,2,4,-3,4,4,-4,-5,-3,4,4,4,4,3,3,3,3,-21,-21,7,4
4,4,6,6,3,3,3,4,6,6,6,4,4,5,4,3,2,2,2,3,3,3,3,3,6,6,6,-20,5,-5,4,6,7,-6,5,-20,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,5,3,4,3,4,2,2,2,2,2,2,3,4,4,3,4,4,4,4,5,5,5,5,6,4,4,4,-3,4,4,4,5,5,4,-1,-1,6,7,3,4,-3,3,-3,-5,7,5,7,-20,5,8,6,5,5,5,4,3,4,-3,-2,-1,-1,-3,6,5,5,4,5,5,5,4,4,3,3,4,4,-4,-2,3,3,3,7,6,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,-1,-3,-4,4,5,6,7,4,4,4,4,3,3,5,6,7,3,7,7,7,-20,-1,-1,7,4,4,4,3,3,3,3,3,2,2,2,4,4,4,3,3,3,3,3,3,3,-20,4,4,3,3,3,5,6,8,7,4,4,4,4,3,3,3,5,3,3,3,-20,6,4,5,5,4,3,5,5,7,-5,6,4,4,3,4,5,5,4,4,4,5,3,5,4,2,6,5,5,4,5,5,4,8,5,7,4,2,2,2,2,4,7,-16,-5,4,4,4,4,4,3,3,2,2,2,2,4,4,2,2,2,4,4,4,4,4,4,-3,-2,5,-1,-3,5,4,4
4,5,6,6,5,6,4,6,5,5,5,4,4,-3,5,4,4,4,5,5,5,4,4,4,4,4,4,4,3,4,-18,-19,6,5,5,4,4,4,4,4,4,4,4,4,5,3,6,5,3,4,4,4,4,2,4,5,4,4,4,4,6,3,4,4,4,4,6,9,-2,-2,-2,2,2,2,2,2,2,9,6,5,5,5,-5,-4,-11,-3,-2,4,4,5,-7,6,5,5,5,5,5,4,4,4,4,3,2,2,2,2,2,3,3,5,5,2,5,6,6,6,3,3,3,3,4,3,3,6,4,6,5,3,-1,7,7,7,4,4,3,4,4,4,5,6,6,6,4,3,3,3,3,3,4,-3,-4,-3,5,6,-4,-5,-4,-5,5,4,3,3,5,5,5,5,4,6,4,5,4,4,4,5,5,5,5,5,5,5,5,6,7,5,3,-1,-1,-2,-3,4,4,2,-4,-1,-2,3,-5,5,5,5,-1,-5,-8,5,-13,5,6,6,2,2,2,2,6,-1,-1,-18,-18,7,-13,-3,4,-3,-3,-4,3,3,2,2,2,4,5,5,5,5,5,5,4,4,4,4,4,4,3,4,4,6,6,5,6,6,6,6,7,7,-5,-7,-7,9,7,4,4,-4,-4,4,4,4,5,5,5,5,5,8,-12,6,7,5,5,-1,-4,-2,-2,-2,-1,-2,-2,-5,3,-4,-2,-2,-17,-17,-17,-19,-19,-6,-6,-19,6,3
